ticker,archetype,sector,asof,status,latest_period,n_periods,overall,blk_Earnings_Quality,blk_Revenue_Quality,blk_Cash_Conversion,blk_Working_Capital_Stress,blk_Capital_Integrity,blk_Capex_Discipline,blk_Balance_Sheet_Stress,blk_Narrative_Drift,c_total_accruals,c_accrual_trend,c_beneish_m_score,c_receivables_growth_spread,c_dso_trend,c_cfo_to_net_income,c_fcf_margin,c_fcf_margin_trend,c_inventory_growth_spread,c_dio_trend,c_diluted_share_growth,c_issuance_pressure,c_capex_growth_spread,c_capex_to_da,c_capex_intensity_regime_shift,c_net_debt_to_ebitda,c_interest_coverage,c_current_ratio,c_debt_to_assets,c_leverage_change,c_kpi_removals,c_disclosure_volume_change,c_risk_factor_expansion,rel_3m,rel_6m,rel_12m,op_margin_chg_4q,fcf_margin_chg_4q,ni_growth_fwd_4q,non_reliance_24m
SNOW,hypergrowth_saas,Software,2021-06-14,skip_short_history,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW,hypergrowth_saas,Software,2021-09-13,skip_short_history,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW,hypergrowth_saas,Software,2021-12-14,ok,2021-10-31,6,26.6,10.0,21.8,51.9,,33.3,20.0,,,10.0,,,20.0,25.0,,51.9,,,,33.3,,,20.0,,,,15.0,,,,,,-0.3791460972666628,-0.474281390655099,-0.4494516763652002,0.10039641894040907,0.1866791113910542,0.03353420915190229,0
SNOW,hypergrowth_saas,Software,2022-03-16,ok,2021-10-31,6,26.6,10.0,21.8,51.9,,33.3,20.0,,,10.0,,,20.0,25.0,,51.9,,,,33.3,,,20.0,,,,15.0,,,,,,-0.25379818320050684,0.09096272632821367,-0.2277453722658348,0.10039641894040907,0.1866791113910542,0.03353420915190229,0
SNOW,hypergrowth_saas,Software,2022-06-14,ok,2022-04-30,8,19.9,15.2,21.8,16.8,,,28.4,,,10.0,21.5,,20.0,25.0,,13.6,20.0,,,,,25.0,37.8,25.0,,,15.0,,,,,,0.6786429425264471,0.23814521975513547,0.4732845766784006,0.00875690181603983,0.1146861399994353,-0.3343652046155618,0
SNOW,hypergrowth_saas,Software,2022-09-13,ok,2022-07-31,8,18.6,12.3,21.8,15.1,,29.5,23.7,,,10.0,15.0,,20.0,25.0,,10.2,20.0,,,29.5,,25.0,20.0,25.0,,,15.0,,,,,,-0.21405663770731098,-0.25421142744302117,-0.2948196748487334,-0.005677844149929223,0.07346175673395658,-0.27502741970577654,0
SNOW,hypergrowth_saas,Software,2022-12-14,ok,2022-10-31,8,24.2,12.3,21.8,15.0,,24.2,52.0,,,10.0,15.0,,20.0,25.0,,10.0,20.0,,,24.2,,90.0,28.7,25.0,,,15.0,,,,,,-0.07568614168413368,0.12075683200196807,0.13542164548408686,0.014865400995908828,0.058037372926766806,-0.21206641642036944,0
SNOW,hypergrowth_saas,Software,2023-03-16,ok,2022-10-31,8,24.2,12.3,21.8,15.0,,24.2,52.0,,,10.0,15.0,,20.0,25.0,,10.0,20.0,,,24.2,,90.0,28.7,25.0,,,15.0,,,,,,0.2531171692786933,0.03735616488513904,-0.19332385539538222,0.014865400995908828,0.058037372926766806,-0.21206641642036944,0
SNOW,hypergrowth_saas,Software,2023-06-14,ok,2023-04-30,8,17.3,12.3,21.8,15.0,,,23.7,,,10.0,15.0,,20.0,25.0,,10.0,20.0,,,,,25.0,20.0,25.0,,,16.2,,,,,,-0.13388053487392015,0.0014681163134047104,-0.5572023169882603,0.0175424788305375,0.006507620692140115,-0.08396949235967663,0
SNOW,hypergrowth_saas,Software,2023-09-13,ok,2023-07-31,8,20.4,12.3,21.8,15.0,,27.4,33.2,,,10.0,15.0,,20.0,25.0,,10.0,20.0,,,27.4,,48.4,20.0,25.4,,,18.0,,,,,,0.1271945480765042,-0.20086709556344184,-0.5887858238347223,0.014493706591408306,-0.00142074252594393,-0.18337512479394488,0
SNOW,hypergrowth_saas,Software,2023-12-14,ok,2023-10-31,8,19.2,12.8,21.8,19.2,,24.5,23.7,,,10.0,16.1,,20.0,25.0,,10.0,28.4,,,24.5,,25.0,20.0,25.0,,,20.7,,,,,,-0.3161360191646704,-0.5168481629641326,-0.444270894225834,-0.032931350974267304,-0.02262065300529703,-0.2911464614997685,0
SNOW,hypergrowth_saas,Software,2024-03-15,ok,2023-10-31,8,19.2,12.8,21.8,19.2,,24.5,23.7,,,10.0,16.1,,20.0,25.0,,10.0,28.4,,,24.5,,25.0,20.0,25.0,,,20.7,,,,,,-0.2544746768564178,-0.3886739738611379,-0.1296039701969357,-0.032931350974267304,-0.02262065300529703,-0.2911464614997685,0
SNOW,hypergrowth_saas,Software,2024-06-14,ok,2024-04-30,8,24.2,12.3,21.8,20.0,,,46.6,,,10.0,15.0,,20.0,25.0,,10.0,30.0,,,,,80.2,20.0,27.5,,,26.9,,,,,,-0.15298700839535107,0.19827824608224343,0.5529760876676222,-0.008578378748376358,-0.08310043372413045,-0.5089196654439496,0
SNOW,hypergrowth_saas,Software,2024-09-13,ok,2024-07-31,8,20.9,12.3,21.8,27.6,,,24.2,,,10.0,15.0,,20.0,25.0,,10.0,45.3,,,,,25.0,20.0,26.6,,,28.8,,,,,,0.416957917312037,0.35329571140482297,0.7299745958091701,0.11175518141363372,-0.07917000783519693,-0.3571287729930752,0
SNOW,hypergrowth_saas,Software,2024-12-14,ok,2024-10-31,8,32.3,13.2,21.8,36.2,,,33.0,61.8,,10.0,17.1,,20.0,25.0,,10.0,62.4,,,,,46.1,20.0,27.6,,90.0,24.3,,,,,,-0.023668526915683885,0.24059178782899104,0.1547923828740274,0.11628120886736443,-0.06440501032517945,-0.19806872785903448,0
SNOW,hypergrowth_saas,Software,2025-03-16,ok,2024-10-31,8,32.3,13.2,21.8,36.2,,,33.0,61.8,,10.0,17.1,,20.0,25.0,,10.0,62.4,,,,,46.1,20.0,27.6,,90.0,24.3,,,,,,0.27132658080396976,0.21017823300400895,-0.07212243401553531,0.11628120886736443,-0.06440501032517945,-0.19806872785903448,0
SNOW,hypergrowth_saas,Software,2025-06-14,ok,2025-04-30,8,42.3,12.3,48.7,43.6,,,56.4,63.8,,10.0,15.0,,43.2,58.5,,10.5,76.7,,,,,89.3,43.0,27.8,,90.0,28.8,,,,,,-0.06568513394040187,-0.10652774757565853,-0.12207405142291483,0.19471614727952558,0.03409024013060177,0.14818485990318872,0
DDOG,hypergrowth_saas,Software,2021-06-14,ok,2021-03-31,8,25.3,12.3,21.8,17.3,,,23.7,57.9,,10.0,15.0,,20.0,25.0,,10.7,23.8,,,,,25.0,20.0,25.0,,90.0,15.0,,,,,,0.3369701697620804,0.6808357649269681,-0.007659332358351811,0.09330514392536812,0.0991322932293901,1.0466276590919399,0
DDOG,hypergrowth_saas,Software,2021-09-13,ok,2021-06-30,8,28.5,13.6,21.8,16.5,,24.9,40.5,57.9,,10.0,17.9,,20.0,25.0,,10.0,23.1,,,24.9,,67.1,20.0,25.0,,90.0,15.0,,,,,,0.2333608586034186,-0.06183815544356697,-0.17820043202092983,0.03460054689643042,0.07821305675074919,1.121678451804987,0
DDOG,hypergrowth_saas,Software,2021-12-14,ok,2021-09-30,8,30.4,15.3,35.5,16.5,,25.4,39.8,57.9,,10.0,21.6,,29.0,46.9,,10.0,23.0,,,25.4,,65.3,20.0,25.0,,90.0,15.0,,,,,,-0.12094546602323597,-0.2680681849768859,-0.3744480538467201,-0.05370062912213335,0.05847639704531171,0.6832145936379725,0
DDOG,hypergrowth_saas,Software,2022-03-16,ok,2021-12-31,8,26.3,12.3,21.8,15.0,,,35.6,53.5,,10.0,15.0,,20.0,25.0,,10.0,20.0,,,,,54.6,20.0,25.3,,82.4,15.0,,,,,,-0.1975221877336738,-0.18110052159812062,-0.3943437770067897,-0.09969076845444393,-0.02769467523342778,-1.4173493975903615,0
DDOG,hypergrowth_saas,Software,2022-06-14,ok,2022-03-31,8,29.1,12.3,21.8,12.7,,,56.2,49.4,,10.0,15.0,,20.0,25.0,10.0,10.0,20.0,,,,,90.0,38.5,29.9,,75.2,15.0,,,,,,0.0538726667613294,-0.1691900205667346,-0.07669555198153488,-0.1012812766898472,-0.08891293644232315,-41.84824902723735,0
DDOG,hypergrowth_saas,Software,2022-09-13,ok,2022-06-30,8,24.9,12.3,21.8,12.7,,20.0,29.0,57.9,,10.0,15.0,,20.0,25.0,10.0,10.0,20.0,,,20.0,,34.6,20.0,29.4,,90.0,15.0,,,,,,-0.2223000674865152,-0.29996135077308117,-0.15526403177687365,-0.03546585520197477,-0.0454448525841874,-13.704389050313504,0
DDOG,hypergrowth_saas,Software,2022-12-14,ok,2022-09-30,8,32.8,14.6,21.8,26.8,,22.8,52.6,57.9,,10.0,20.0,,20.0,25.0,,10.0,43.5,,,22.8,,85.8,30.4,30.6,,90.0,15.0,,,,,,-0.13203316739994897,0.07604298458883241,0.32493422848532294,0.06407203082457752,-0.003931447772068164,-1.4680561524136944,0
DDOG,hypergrowth_saas,Software,2023-03-16,ok,2022-12-31,8,38.9,17.9,28.8,39.7,,,54.8,57.9,,10.0,27.3,,23.9,37.3,,10.0,69.3,,,,,90.0,29.7,32.7,,90.0,15.0,,,,,,0.29709479720600984,0.23439812330872178,0.42792017762423074,0.1208192571088365,0.06074194235898678,1.9683014354066986,0
DDOG,hypergrowth_saas,Software,2023-06-14,ok,2023-03-31,8,33.2,18.9,22.7,42.7,,,25.2,57.9,,10.0,29.6,,20.5,26.6,,10.0,75.5,,,,,25.0,22.4,27.8,,90.0,15.0,,,,,,-0.021199087297185004,0.13357091091415318,-0.03559716506574162,0.09222020378003914,0.1069207886337967,2.3727257572871023,0
DDOG,hypergrowth_saas,Software,2023-09-13,ok,2023-06-30,8,27.1,13.3,21.8,23.9,,26.9,24.0,57.9,,10.0,17.2,,20.0,25.0,,10.0,37.8,,,26.9,,25.0,20.0,26.0,,90.0,15.0,,,,,,0.1331805346132564,0.0961687576725676,-0.15543298289230023,0.0627490875430986,0.06211999489977427,2.9630690709487926,0
DDOG,hypergrowth_saas,Software,2023-12-14,ok,2023-09-30,8,30.6,16.8,21.8,15.1,,80.1,23.7,57.9,,10.0,25.0,,20.0,25.0,,10.0,20.1,,,80.1,,25.0,20.0,25.0,,90.0,15.0,,,,,,-0.09251626225888865,-0.19624456599886886,-0.011424273473984226,0.03711324376052523,0.05032812443473339,6.576104936301111,0
DDOG,hypergrowth_saas,Software,2024-03-15,ok,2023-12-31,8,19.2,22.1,24.9,12.7,,,24.2,13.3,,10.0,36.7,,21.5,30.7,10.0,10.0,20.0,,,,,25.0,21.8,25.0,,12.0,15.0,,,,,,-0.08605449352982197,-0.18244189621387386,-0.2559548906277057,-0.0343173320549015,0.015245576454321175,2.78319950586782,0
DDOG,hypergrowth_saas,Software,2024-06-14,ok,2024-03-31,8,23.8,25.0,21.8,12.7,,,37.3,22.5,,10.0,42.9,,20.0,25.0,10.0,10.0,20.0,,,,,52.6,29.7,25.0,,28.1,15.0,,,,,,-0.09495351436024047,0.17843218849794984,-0.011182683311103503,-0.03593404111257148,0.004357777193689849,0.4378117220501878,0
DDOG,hypergrowth_saas,Software,2024-09-13,ok,2024-06-30,8,31.6,30.8,57.4,13.9,,21.6,40.1,,,10.0,55.8,,46.9,75.7,10.0,10.0,24.6,,,21.6,,66.0,20.0,25.0,,,22.4,,,,,,0.35586875192930445,-0.06260557395632116,0.04103145058367397,-0.06249303278137151,0.010294601552224059,-0.23605592347314203,0
DDOG,hypergrowth_saas,Software,2024-12-14,ok,2024-09-30,8,21.9,24.3,21.8,14.2,,21.9,27.6,,,10.0,41.4,,20.0,25.0,10.0,10.0,25.9,,,21.9,,34.3,20.0,25.7,,,20.6,,,,,,-0.2729633324324271,-0.17029774468551606,-0.24088896653054737,-0.03594674138206724,-0.016122095105240708,-0.44432127485727074,0
DDOG,hypergrowth_saas,Software,2025-03-16,ok,2024-12-31,8,22.4,27.3,21.8,15.8,,,23.7,,,10.0,48.0,,20.0,25.0,10.0,10.0,31.7,,,,,25.0,20.0,25.2,,,15.0,,,,,,0.10689883735507388,0.12384346298739546,0.08254965085060961,-0.002915576121155259,-0.01820769486083229,-0.4138775510204082,0
DDOG,hypergrowth_saas,Software,2025-06-14,ok,2025-03-31,8,19.5,18.7,21.8,15.4,,,23.7,,,10.0,29.1,,20.0,25.0,10.0,10.0,30.3,,,,,25.0,20.0,25.0,,,15.0,,,,,,0.0054842168776503275,0.02902819731752726,0.6151539874152081,0.023588996883142272,-0.0294182621134933,-0.18176169303997924,0
CRWD,hypergrowth_saas,Software,2021-06-14,ok,2021-04-30,8,30.5,18.0,21.8,15.0,,,54.1,48.3,,10.0,27.6,,20.0,25.0,,10.0,20.0,,,,,78.4,,25.0,,90.0,21.4,30.6,23.1,,,,0.034213522593948165,-0.26369954952031716,-0.2317467816808969,0.05455185170817327,-0.020601403353359082,-0.12871712021002676,0
CRWD,hypergrowth_saas,Software,2021-09-13,ok,2021-07-31,8,25.8,12.3,33.0,20.2,,,25.0,47.8,,10.0,15.0,,27.4,42.9,,10.0,30.4,,,,,25.0,,25.0,,90.0,22.8,28.6,20.0,,,,-0.2756795426831813,-0.21918597210481028,-0.1656813426183248,0.050106664711843496,-0.02642938668449507,0.08112426035502959,0
CRWD,hypergrowth_saas,Software,2021-12-14,ok,2021-10-31,8,31.7,12.3,22.4,23.6,,26.4,59.6,48.7,,10.0,15.0,,20.4,26.0,,10.0,37.2,,,26.4,,86.9,,26.8,,90.0,24.0,27.4,24.2,,,,0.011020363015727508,0.0032881949376726283,-0.2682442462949628,0.008812072659861114,-0.03404173083958206,0.17233174711080898,0
CRWD,hypergrowth_saas,Software,2022-03-16,ok,2022-01-31,8,35.5,27.6,21.8,30.8,,,49.1,47.9,,10.0,48.8,,20.0,25.0,,10.0,51.6,,,,,60.1,,36.0,,90.0,25.1,25.4,20.2,,,,-0.006636919804963504,0.0408423560414195,-0.21136124837687575,-0.04188873745546754,-0.006696219280554139,0.2155668781037792,0
CRWD,hypergrowth_saas,Software,2022-06-14,ok,2022-04-30,8,38.7,31.9,38.5,32.4,,,46.0,48.4,,10.0,58.1,,31.4,51.0,,10.0,54.8,,,,,55.7,,34.5,,90.0,25.1,24.3,24.3,,,,0.09602788670733542,-0.3245388100474995,-0.20043758046228755,0.020865165686638164,0.01313157154077682,0.15980251828327333,0
CRWD,hypergrowth_saas,Software,2022-09-13,ok,2022-07-31,8,34.6,25.0,21.8,28.3,,24.5,55.4,47.9,,10.0,43.1,,20.0,25.0,,10.0,46.6,,,24.5,,66.0,,42.8,,90.0,25.4,22.8,22.7,,,,-0.3772530345556171,-0.29875367928576413,-0.24000715980071774,0.06925554127366718,0.006729297336374562,0.45840919335671093,0
