ticker,archetype,sector,asof,status,latest_period,n_periods,overall,blk_Earnings_Quality,blk_Revenue_Quality,blk_Cash_Conversion,blk_Working_Capital_Stress,blk_Capital_Integrity,blk_Capex_Discipline,blk_Balance_Sheet_Stress,blk_Narrative_Drift,c_total_accruals,c_accrual_trend,c_beneish_m_score,c_beneish_tata,c_receivables_growth_spread,c_beneish_dsri,c_deferred_revenue_growth_spread,c_dso_trend,c_cfo_to_net_income,c_fcf_to_net_income,c_fcf_margin,c_fcf_margin_trend,c_inventory_growth_spread,c_dio_trend,c_working_capital_swing_to_income,c_sbc_to_revenue,c_sbc_to_cfo,c_diluted_share_growth,c_net_share_count_change,c_buyback_offset_ratio,c_issuance_pressure,c_capex_growth_spread,c_capex_to_da,c_capex_intensity_regime_shift,c_incremental_revenue_per_capex,c_net_debt_to_ebitda,c_interest_coverage,c_current_ratio,c_debt_to_assets,c_leverage_change,c_asset_quality_proxy,c_intangibles_to_assets,c_adjustment_recurrence_ratio,c_recurring_adjustment_terms,c_kpi_removals,c_disclosure_volume_change,rel_3m,rel_6m,rel_12m,op_margin_chg_4q,fcf_margin_chg_4q,ni_growth_fwd_4q,non_reliance_24m
SNOW,hypergrowth_saas,Software,2021-06-14,skip_short_history,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW,hypergrowth_saas,Software,2021-09-13,skip_short_history,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNOW,hypergrowth_saas,Software,2021-12-14,ok,2021-10-31,6,33.2,24.6,28.9,38.1,,67.9,18.7,20.1,,16.6,37.5,,19.2,20.0,20.0,59.3,25.0,,,48.1,28.0,,,,90.0,92.0,33.3,45.0,,,25.0,20.0,,10.0,,,15.0,,,28.6,15.0,,,,,-0.3791462298059892,-0.4742816468725789,-0.44945208026292904,0.10039641894040907,0.1866791113910542,0.03353420915190229,0
SNOW,hypergrowth_saas,Software,2022-03-16,ok,2021-10-31,6,33.2,24.6,28.9,38.1,,67.9,18.7,20.1,,16.6,37.5,,19.2,20.0,20.0,59.3,25.0,,,48.1,28.0,,,,90.0,92.0,33.3,45.0,,,25.0,20.0,,10.0,,,15.0,,,28.6,15.0,,,,,-0.25379833210915903,0.09096257741956149,-0.22774529781150876,-0.010895547382395343,0.19035714259785622,-0.1729220469800632,0
SNOW,hypergrowth_saas,Software,2022-06-14,ok,2022-04-30,8,29.5,12.8,28.1,15.0,,72.6,38.0,23.1,,10.0,16.6,,12.0,20.0,20.0,55.4,25.0,,,10.0,20.0,,,,90.0,75.9,,39.3,,,72.4,37.8,25.0,10.0,,,15.0,,,36.5,15.0,,,,,0.6786428560435733,0.2381451332722615,0.4732844901955269,0.00875690181603983,0.1146861399994353,-0.3343652046155618,0
SNOW,hypergrowth_saas,Software,2022-09-13,ok,2022-07-31,8,30.3,18.2,29.3,29.9,,65.1,20.2,22.3,,12.8,26.7,,15.0,20.0,20.0,61.7,25.0,,,24.7,35.1,,,,90.0,92.0,29.5,35.0,,,25.0,20.0,25.0,10.0,,,15.0,,,34.4,15.0,,,,,-0.21405680306441255,-0.25421159115114667,-0.2948197702089067,-0.005677844149929223,0.07346175673395658,-0.27502741970577654,0
SNOW,hypergrowth_saas,Software,2022-12-14,ok,2022-10-31,8,35.9,19.0,45.7,32.5,,63.6,38.8,22.8,,13.2,28.1,,15.5,57.0,45.3,47.0,25.0,,,23.7,41.4,,,,90.0,92.0,24.2,34.2,,,81.2,28.7,25.0,10.0,,,15.0,,,34.2,17.3,,,,,-0.07568574522339122,0.12075743044763065,0.13542186975364556,0.014865400995908828,0.058037372926766806,-0.21206641642036944,0
SNOW,hypergrowth_saas,Software,2023-03-16,ok,2022-10-31,8,35.9,19.0,45.7,32.5,,63.6,38.8,22.8,,13.2,28.1,,15.5,57.0,45.3,47.0,25.0,,,23.7,41.4,,,,90.0,92.0,24.2,34.2,,,81.2,28.7,25.0,10.0,,,15.0,,,34.2,17.3,,,,,0.25311726945277657,0.03735642783452642,-0.19332372349577365,0.051409103542548185,0.03387627456114839,-0.05073690387523416,0
SNOW,hypergrowth_saas,Software,2023-06-14,ok,2023-04-30,8,27.2,12.2,28.2,15.0,,66.7,26.3,24.4,,10.0,15.0,,12.0,20.0,20.0,56.0,25.0,,,10.0,20.0,,,,90.0,72.7,,32.3,48.3,,45.1,20.0,25.0,10.0,,,16.2,,,36.3,18.7,,,,,-0.1338804596763591,0.0014681951508865865,-0.5572019344801016,0.0175424788305375,0.006507620692140115,-0.08396949235967663,0
SNOW,hypergrowth_saas,Software,2023-09-13,ok,2023-07-31,8,38.0,21.8,36.4,55.8,,65.9,20.3,26.6,,12.6,37.0,,14.8,37.6,30.9,52.5,25.0,,,26.7,85.0,,,,90.0,92.0,27.4,39.7,70.0,,25.0,20.0,25.4,10.0,,,18.0,,,38.8,21.1,,,,,0.1271946190200448,-0.20086709556344184,-0.5887861076088847,0.014493706591408306,-0.00142074252594393,-0.18337512479394488,0
SNOW,hypergrowth_saas,Software,2023-12-14,ok,2023-10-31,8,38.2,20.0,44.3,51.9,,59.4,27.7,27.3,,11.4,34.5,,13.2,56.4,45.4,40.8,25.0,,,18.9,85.0,,,,90.0,92.0,24.5,29.1,33.2,,50.0,20.0,25.0,10.0,,,20.7,,,37.7,21.7,,,,,-0.31613608603964816,-0.5168481629641326,-0.44427076047587843,-0.032931350974267304,-0.02262065300529703,-0.2911464614997685,0
SNOW,hypergrowth_saas,Software,2024-03-15,ok,2023-10-31,8,38.2,20.0,44.3,51.9,,59.4,27.7,27.3,,11.4,34.5,,13.2,56.4,45.4,40.8,25.0,,,18.9,85.0,,,,90.0,92.0,24.5,29.1,33.2,,50.0,20.0,25.0,10.0,,,20.7,,,37.7,21.7,,,,,-0.2544745618562082,-0.38867398708245016,-0.12960398534017104,-0.03623389466197918,-0.03984358809007804,-0.5384574994928341,0
SNOW,hypergrowth_saas,Software,2024-06-14,ok,2024-04-30,8,27.9,12.2,29.8,15.0,,64.7,25.7,31.1,,10.0,15.0,,12.0,20.0,20.0,63.9,25.0,,,10.0,20.0,,,,90.0,75.9,,31.5,28.9,,41.2,20.0,27.5,10.0,,,26.9,,,39.6,24.5,,,,,-0.15298713318657198,0.19827787187405654,0.5529759456903545,-0.008578378748376358,-0.08310043372413045,-0.5089196654439496,0
SNOW,hypergrowth_saas,Software,2024-09-13,ok,2024-07-31,8,42.2,20.0,49.0,61.5,,70.4,20.7,32.2,,10.0,36.7,,12.0,61.8,49.2,50.6,25.0,,,38.0,85.0,,,,90.0,92.0,,31.0,37.5,,25.0,20.0,26.6,10.0,,,28.8,,,40.1,25.4,,,,,0.4169582683057351,0.35329582361575684,0.729974859845181,0.11175518141363372,-0.07917000783519693,-0.3571287729930752,0
SNOW,hypergrowth_saas,Software,2024-12-14,ok,2024-10-31,8,46.0,19.1,52.7,58.8,,65.3,40.4,48.6,,10.0,34.3,,12.0,73.8,57.4,37.6,25.0,,,32.5,85.0,,,,90.0,92.0,,18.6,20.0,,90.0,20.0,27.6,10.0,,90.0,24.3,,,35.8,21.7,,,,,-0.02366862290408578,0.2405916863510874,0.15479226704131377,0.11628120886736443,-0.06440501032517945,-0.19806872785903448,0
SNOW,hypergrowth_saas,Software,2025-03-16,ok,2024-10-31,8,46.0,19.1,52.7,58.8,,65.3,40.4,48.6,,10.0,34.3,,12.0,73.8,57.4,37.6,25.0,,,32.5,85.0,,,,90.0,92.0,,18.6,20.0,,90.0,20.0,27.6,10.0,,90.0,24.3,,,35.8,21.7,,,,,0.27132679972335527,0.21017823300400895,-0.07212243401553531,0.14407379767360182,-0.022008808895882054,-0.030889411516492243,0
SNOW,hypergrowth_saas,Software,2025-06-14,ok,2025-04-30,8,40.8,14.8,29.2,49.8,,69.5,45.4,50.4,,10.0,22.2,,12.0,20.0,20.0,61.1,25.0,,,14.5,85.0,,,,90.0,92.0,,29.1,34.1,,90.0,43.0,27.8,11.5,,90.0,28.8,,,37.8,22.6,,,,,-0.06568535953570565,-0.10652798090178672,-0.12207430683952003,0.19471614727952558,0.03409024013060177,0.14818485990318872,0
DDOG,hypergrowth_saas,Software,2021-06-14,ok,2021-03-31,8,27.6,17.2,24.9,15.0,,57.0,20.2,41.2,,14.9,19.8,,17.4,20.0,20.0,39.4,25.0,,,10.0,20.0,,,,61.3,51.6,,,,,25.0,20.0,25.0,10.0,,90.0,15.0,,,20.0,15.0,,,,,0.3369702509211754,0.6808358507508439,-0.00765941760114619,0.09330514392536812,0.0991322932293901,1.0466276590919399,0
DDOG,hypergrowth_saas,Software,2021-09-13,ok,2021-06-30,8,30.4,19.4,29.4,15.2,,49.7,39.8,41.9,,15.9,24.0,,18.6,31.4,26.5,33.9,25.0,,,10.0,20.4,,,,61.9,59.2,24.9,,,,90.0,20.0,25.0,10.0,,90.0,15.0,,,20.0,18.8,,,,,0.2333608586034186,-0.061838374790716744,-0.17820035890521324,0.03460054689643042,0.07821305675074919,1.121678451804987,0
DDOG,hypergrowth_saas,Software,2021-12-14,ok,2021-09-30,8,27.7,18.2,29.0,15.0,,51.0,20.2,41.7,,14.8,22.9,,17.4,28.6,25.0,38.5,25.0,,,10.0,20.0,,,,65.7,58.3,25.4,,,,25.0,20.0,25.0,10.0,,90.0,15.0,,,20.0,17.8,,,,,-0.12094559856256237,-0.2680684411943658,-0.3744484577444489,-0.05370062912213335,0.05847639704531171,0.6832145936379725,0
DDOG,hypergrowth_saas,Software,2022-03-16,ok,2021-12-31,8,25.7,12.9,23.1,12.0,,58.1,20.3,39.3,,10.8,15.1,,13.4,20.0,20.0,30.5,25.0,10.0,10.0,10.0,20.0,,,,68.2,45.6,,,,,25.0,20.0,25.3,10.0,,82.4,15.0,,,20.0,18.7,,,,,-0.197522336642326,-0.1811006705067728,-0.39434370255246365,-0.09969076845444393,-0.02769467523342778,-1.4173493975903615,0
DDOG,hypergrowth_saas,Software,2022-06-14,ok,2022-03-31,8,28.1,12.2,21.0,12.0,,58.5,44.7,36.8,,10.0,15.0,,12.0,20.0,20.0,20.0,25.0,10.0,10.0,10.0,20.0,,,,71.1,42.8,,,,,90.0,38.5,29.9,10.0,,75.2,15.0,,,20.0,17.6,,,,,0.05387258027845565,-0.16919010704960857,-0.07669563846440863,-0.1012812766898472,-0.08891293644232315,-41.84824902723735,0
DDOG,hypergrowth_saas,Software,2022-09-13,ok,2022-06-30,8,37.6,24.1,28.7,50.8,,60.7,21.4,41.9,,16.0,37.2,,18.6,20.0,20.0,58.7,25.0,,,16.6,85.0,,,,75.4,83.1,20.0,,,,25.0,20.0,29.4,10.0,,90.0,15.0,,,20.0,19.1,,,,,-0.22230023284361677,-0.29996151448120667,-0.15526412713704696,-0.03546585520197477,-0.0454448525841874,-13.704389050313504,0
DDOG,hypergrowth_saas,Software,2022-12-14,ok,2022-09-30,8,39.3,19.1,33.1,50.4,,63.9,34.9,41.8,,12.9,28.8,,15.5,36.7,30.4,34.6,28.6,,,15.8,85.0,,,,79.8,85.1,22.8,,,,62.3,30.4,30.6,10.0,,90.0,15.0,,,20.0,18.1,,,,,-0.1320327709392065,0.07604358303449499,0.32493445275488164,0.06407203082457752,-0.003931447772068164,-1.4680561524136944,0
DDOG,hypergrowth_saas,Software,2023-03-16,ok,2022-12-31,8,36.9,15.2,36.1,34.4,,80.1,24.1,41.7,,10.2,22.7,,12.7,37.5,30.9,26.2,50.3,,,10.0,58.9,,,,81.0,78.9,,,,,25.0,29.7,32.7,10.0,,90.0,15.0,,,20.0,17.7,,,,,0.2970948973800931,0.23439838625810916,0.4279203095238393,0.1208192571088365,0.06074194235898678,1.9683014354066986,0
DDOG,hypergrowth_saas,Software,2023-06-14,ok,2023-03-31,8,31.2,15.3,23.7,21.0,,75.7,21.4,41.6,,10.0,23.6,,12.0,20.0,20.0,33.6,25.0,,,10.0,31.9,,,,80.1,70.2,,,,,25.0,22.4,27.8,10.0,,90.0,15.0,,,20.0,16.9,,,,,-0.021199012099623937,0.13357098975163506,-0.03559678255758292,0.09222020378003914,0.1069207886337967,2.3727257572871023,0
DDOG,hypergrowth_saas,Software,2023-09-13,ok,2023-06-30,8,28.1,17.1,25.6,15.0,,59.2,20.5,41.4,,10.4,27.8,,12.8,20.0,20.0,43.1,25.0,,,10.0,20.0,,,,79.8,65.8,26.9,,,,25.0,20.0,26.0,10.0,,90.0,15.0,,,20.0,16.2,,,,,0.133180605556797,0.0961687576725676,-0.15543326666646262,0.0627490875430986,0.06211999489977427,2.9630690709487926,0
DDOG,hypergrowth_saas,Software,2023-12-14,ok,2023-09-30,8,36.2,22.9,37.9,13.1,,75.8,39.8,41.3,,13.6,38.0,,16.2,49.7,39.9,28.0,25.0,10.0,10.0,10.0,25.4,,,,78.7,67.9,80.1,,,,90.0,20.0,25.0,10.0,,90.0,15.0,,,20.0,15.2,,,,,-0.09251632913386643,-0.19624456599886886,-0.01142413972402867,0.03711324376052523,0.05032812443473339,6.576104936301111,0
DDOG,hypergrowth_saas,Software,2024-03-15,ok,2023-12-31,8,31.3,18.4,49.5,12.0,,66.9,33.0,15.3,,11.7,28.9,,14.5,60.7,48.0,20.0,61.5,10.0,10.0,10.0,20.0,,,,77.6,53.5,,,,,66.2,21.8,25.0,10.0,,12.0,15.0,,,20.0,15.0,,,,,-0.0860543785296124,-0.18244190943518612,-0.25595490577094104,-0.0343173320549015,0.015245576454321175,2.78319950586782,0
DDOG,hypergrowth_saas,Software,2024-06-14,ok,2024-03-31,8,28.3,20.4,25.1,12.0,,68.9,30.1,20.6,,12.4,33.4,,14.9,20.0,20.0,40.7,25.0,10.0,10.0,10.0,20.0,,,,78.1,57.3,,,,,51.3,29.7,25.0,10.0,,28.1,15.0,,,20.0,15.0,,,,,-0.09495363915146138,0.17843181428976296,-0.011182825288371223,-0.03593404111257148,0.004357777193689849,0.4378117220501878,0
DDOG,hypergrowth_saas,Software,2024-09-13,ok,2024-06-30,8,31.9,28.2,44.9,21.0,,57.1,20.2,19.7,,16.5,47.5,,19.3,49.4,40.0,36.9,51.1,10.0,10.0,10.0,64.8,,,,76.3,68.7,21.6,,,,25.0,20.0,25.0,10.0,,,22.4,,,20.0,15.0,,,,,0.35586910292300256,-0.06260546174538728,0.0410317146196848,-0.06249303278137151,0.010294601552224059,-0.23605592347314203,0
DDOG,hypergrowth_saas,Software,2024-12-14,ok,2024-09-30,8,26.8,20.8,26.5,12.3,,53.3,35.6,19.0,,13.3,33.0,,15.8,20.0,20.0,47.7,25.0,10.0,10.0,10.0,21.3,,,,75.9,56.4,21.9,,,,75.6,20.0,25.7,10.0,,,20.6,,,20.0,15.0,,,,,-0.272963428420829,-0.1702978461634197,-0.240889082363261,-0.03594674138206724,-0.016122095105240708,-0.44432127485727074,0
