ticker,name,overall,coverage,red_flag_metrics,auto_label,adjudication,notes
AMZN,AMAZON COM INC,47.1,0.852,fcf_to_net_income;fcf_margin_trend;fcf_margin;incremental_revenue_per_capex;receivables_growth_spread,,,
AMAT,APPLIED MATERIALS INC /DE,48.4,0.972,cfo_to_net_income;fcf_to_net_income;fcf_margin_trend;capex_to_da;accrual_trend,,,
PANW,"PALO ALTO NETWORKS, INC",45.1,0.875,diluted_share_growth;asset_quality_proxy;fcf_margin_trend;intangibles_to_assets;dso_trend;sbc_to_revenue,,,
PM,Philip Morris International Inc.,59.2,0.769,cfo_to_net_income;dio_trend;fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;debt_to_assets;fcf_margin;accrual_trend,,,
WDC,WESTERN DIGITAL CORPORATION,45.2,0.875,total_accruals;beneish_tata;cfo_to_net_income;accrual_trend;fcf_to_net_income,,,
PEP,"PepsiCo, Inc.",56.1,0.889,cfo_to_net_income;sbc_to_cfo;fcf_to_net_income;fcf_margin_trend;receivables_growth_spread;beneish_dsri;inventory_growth_spread;dio_trend,,,
QCOM,QUALCOMM INC/DE,55.9,0.944,cfo_to_net_income;accrual_trend;fcf_margin_trend;incremental_revenue_per_capex;fcf_to_net_income;dio_trend;total_accruals;beneish_tata,,,
ETN,EATON CORPORATION plc,45.3,0.833,fcf_margin_trend;leverage_change;intangibles_to_assets;cfo_to_net_income;asset_quality_proxy;fcf_to_net_income,,,
LMT,LOCKHEED MARTIN CORPORATION,50.4,0.889,cfo_to_net_income;fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;inventory_growth_spread;buyback_offset_ratio,,,
BMY,Bristol-Myers Squibb Company,45.1,0.819,fcf_margin_trend;cfo_to_net_income;fcf_to_net_income;incremental_revenue_per_capex,,,
SO,SOUTHERN CO,53.2,0.662,fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;fcf_margin;current_ratio;capex_intensity_regime_shift,,,
DUK,DUKE ENERGY CORPORATION,49.4,0.699,fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex;fcf_margin;current_ratio,,,
SHW,THE SHERWIN-WILLIAMS COMPANY,49.6,0.861,fcf_to_net_income;cfo_to_net_income;fcf_margin_trend;deferred_revenue_growth_spread,,,
CEG,CONSTELLATION ENERGY CORPORATION,47.9,0.75,fcf_to_net_income;net_debt_to_ebitda;cfo_to_net_income;fcf_margin;fcf_margin_trend,,,
NOC,NORTHROP GRUMMAN CORP /DE/,58.4,0.833,cfo_to_net_income;fcf_to_net_income;net_debt_to_ebitda;receivables_growth_spread;fcf_margin_trend;fcf_margin;beneish_dsri;accrual_trend,,,
COHR,COHERENT CORP.,52.3,0.815,cfo_to_net_income;dio_trend;fcf_to_net_income;fcf_margin_trend;capex_to_da;fcf_margin;capex_growth_spread,,,
NSC,NORFOLK SOUTHERN CORP,46.1,0.731,fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;incremental_revenue_per_capex,,,
CRH,CRH public limited company,45.8,0.894,net_debt_to_ebitda;interest_coverage,,,
HON,Honeywell International Inc,53.2,0.935,cfo_to_net_income;capex_growth_spread;fcf_to_net_income;net_debt_to_ebitda;fcf_margin_trend;fcf_margin;incremental_revenue_per_capex,,,
PSX,Phillips 66,61.5,0.731,cfo_to_net_income;inventory_growth_spread;receivables_growth_spread,,,
SLB,SLB LIMITED/NV,45.5,0.694,fcf_margin_trend;fcf_to_net_income;incremental_revenue_per_capex,,,
BSX,BOSTON SCIENTIFIC CORP,45.4,0.912,net_debt_to_ebitda;cfo_to_net_income;fcf_margin_trend;fcf_to_net_income;asset_quality_proxy;intangibles_to_assets,,,
RKLB,Rocket Lab Corp,48.6,0.926,receivables_growth_spread;interest_coverage;beneish_dsri;fcf_margin;capex_to_da;working_capital_swing_to_income,,,
CTVA,"Corteva, Inc.",57.1,0.806,cfo_to_net_income;fcf_to_net_income;accrual_trend;deferred_revenue_growth_spread;fcf_margin_trend;working_capital_swing_to_income;fcf_margin;beneish_tata;total_accruals,,,
F,Ford Motor Co,46.1,0.787,fcf_to_net_income;fcf_margin_trend;cfo_to_net_income,,,
LHX,"L3HARRIS TECHNOLOGIES, INC.",58.9,0.921,cfo_to_net_income;beneish_dsri;fcf_to_net_income;net_debt_to_ebitda;inventory_growth_spread;receivables_growth_spread;beneish_m_score;fcf_margin_trend;working_capital_swing_to_income;asset_quality_proxy,,,
ETR,ENTERGY CORP /DE/,49.9,0.727,fcf_to_net_income;net_debt_to_ebitda;capex_intensity_regime_shift;asset_quality_proxy;fcf_margin_trend;interest_coverage;incremental_revenue_per_capex;fcf_margin;capex_to_da,,,
OXY,OCCIDENTAL PETROLEUM CORPORATION,45.1,0.731,fcf_to_net_income;cfo_to_net_income;fcf_margin_trend;incremental_revenue_per_capex;accrual_trend,,,
AXON,"Axon Enterprise, Inc.",50.8,0.907,cfo_to_net_income;fcf_to_net_income;net_debt_to_ebitda;interest_coverage;fcf_margin_trend;fcf_margin,,,
