ticker,name,sic,status,coverage,overall,direction,n_red_flags,top_block,top_block_score,red_flag_metrics
NVDA,NVIDIA CORP,3674,ok,0.954,29.6,positive,1,Working Capital Stress,44.3,dio_trend
GOOGL,ALPHABET INC.,7370,ok,0.852,44.7,mixed,3,Cash Conversion,65.3,fcf_to_net_income;capex_to_da;buyback_offset_ratio
AAPL,Apple Inc.,3571,ok,0.852,30.7,positive,1,Working Capital Stress,56.1,inventory_growth_spread
MSFT,MICROSOFT CORPORATION,7372,ok,0.986,32.7,mixed,2,Capex Discipline,58.4,incremental_revenue_per_capex;capex_to_da
AMZN,AMAZON COM INC,5961,ok,0.852,47.1,negative,5,Cash Conversion,72.6,fcf_to_net_income;fcf_margin_trend;fcf_margin;incremental_revenue_per_capex;receivables_growth_spread
AVGO,Broadcom Inc.,3674,ok,0.944,33.8,mixed,5,Working Capital Stress,73.6,intangibles_to_assets;asset_quality_proxy;dio_trend;net_debt_to_ebitda;inventory_growth_spread
TSLA,"Tesla, Inc.",3711,ok,0.898,28.8,positive,0,Working Capital Stress,65.2,
META,"Meta Platforms, Inc.",7370,ok,0.815,34.7,mixed,4,Capex Discipline,58.6,capex_intensity_regime_shift;incremental_revenue_per_capex;capex_to_da;buyback_offset_ratio
MU,"Micron Technology, Inc.",3674,ok,0.94,33.0,mixed,2,Earnings Quality,55.5,capex_to_da;buyback_offset_ratio
BRK-B,BERKSHIRE HATHAWAY INC,6331,excluded_financial,0.389,,,,,,
LLY,ELI LILLY & Co,2834,ok,0.801,38.5,mixed,0,Cash Conversion,62.9,
JPM,JPMORGAN CHASE & CO,6021,excluded_financial,0.394,,,,,,
AMD,ADVANCED MICRO DEVICES INC,3674,ok,0.88,25.3,positive,1,Capex Discipline,41.1,capex_growth_spread
WMT,WALMART INC.,5331,ok,0.856,41.0,mixed,2,Cash Conversion,63.2,fcf_to_net_income;current_ratio
ASML,,,error: Could not establish at least 2 quarter-end dates for ASML; the filer may use cus,,,,,,,
V,VISA INC.,7389,ok,0.741,41.7,mixed,2,Cash Conversion,62.9,fcf_margin_trend;cfo_to_net_income
INTC,INTEL CORP,3674,ok,0.866,43.9,mixed,5,Cash Conversion,77.5,interest_coverage;incremental_revenue_per_capex;fcf_margin;fcf_margin_trend;dio_trend
JNJ,Johnson & Johnson,2834,ok,0.843,42.6,mixed,3,Cash Conversion,72.3,fcf_margin_trend;cfo_to_net_income;fcf_to_net_income
XOM,Exxon Mobil Corporation,2911,ok,0.63,39.7,mixed,4,Revenue Quality,73.9,incremental_revenue_per_capex;dso_trend;receivables_growth_spread;fcf_margin_trend
AMAT,APPLIED MATERIALS INC /DE,3674,ok,0.972,48.4,negative,5,Cash Conversion,79.6,cfo_to_net_income;fcf_to_net_income;fcf_margin_trend;capex_to_da;accrual_trend
LRCX,LAM RESEARCH CORPORATION,3559,ok,0.898,40.2,mixed,2,Cash Conversion,62.2,fcf_margin_trend;cfo_to_net_income
MA,Mastercard Inc,7389,ok,0.792,38.9,mixed,1,Cash Conversion,50.2,fcf_margin_trend
CSCO,"CISCO SYSTEMS, INC.",3576,ok,0.935,33.3,mixed,2,Working Capital Stress,60.9,asset_quality_proxy;dio_trend
CAT,CATERPILLAR INC,3531,ok,0.926,39.2,mixed,1,Cash Conversion,62.9,fcf_margin_trend
ABBV,AbbVie Inc.,2834,ok,0.917,35.4,mixed,5,Balance Sheet Stress,67.6,net_debt_to_ebitda;fcf_margin_trend;asset_quality_proxy;intangibles_to_assets;current_ratio
CYATY,,,error: SEC request failed for https://data.sec.gov/api/xbrl/companyfacts/CIK0002070829.,,,,,,,
BAC,BofA Finance LLC,6021,excluded_financial,0.509,,,,,,
ORCL,Oracle Corporation,7372,ok,0.884,37.8,mixed,6,Capex Discipline,65.8,fcf_to_net_income;capex_intensity_regime_shift;incremental_revenue_per_capex;capex_to_da;fcf_margin;buyback_offset_ratio
COST,COSTCO WHOLESALE CORP /NEW,5331,ok,0.884,26.1,positive,0,Capex Discipline,36.0,
GE,GENERAL ELECTRIC COMPANY,3600,ok,0.745,32.8,mixed,0,Revenue Quality,41.2,
UNH,UnitedHealth Group Incorporated,6324,excluded_financial,0.963,,,,,,
ARM,ARM HOLDINGS PLC /UK,3674,ok,0.806,42.1,mixed,3,Capital Integrity,63.3,sbc_to_cfo;fcf_margin_trend;deferred_revenue_growth_spread
HD,"HOME DEPOT, INC.",5211,ok,0.977,27.7,positive,1,Balance Sheet Stress,51.0,net_debt_to_ebitda
KO,COCA COLA CO,2080,ok,0.88,37.2,mixed,1,Cash Conversion,51.6,cfo_to_net_income
KLAC,KLA CORPORATION,3827,ok,0.875,37.6,mixed,2,Cash Conversion,60.1,fcf_margin_trend;cfo_to_net_income
PG,PROCTER & GAMBLE CO,2840,ok,0.917,32.8,mixed,1,Balance Sheet Stress,42.0,current_ratio
MS,MORGAN STANLEY,6211,excluded_financial,0.398,,,,,,
